dpi,page,frames,p50_ms,p95_ms,max_ms,layouts,positions,paints,child_paints,bitmap_allocations,column_writes,layout_ms,paint_ms,child_ms,gdi_delta
96,0,64,15.5603,19.432,25.3804,63,1134,63,856,2,0,350.041,302.865,241.116,0
96,1,64,18.2452,26.41,30.4845,63,1197,63,1323,0,63,646.487,261.59,318.154,0
96,2,64,7.8888,11.7583,12.5187,63,504,63,315,0,0,116.238,240.053,51.9193,0
96,3,64,10.2709,13.1048,13.9694,63,567,63,567,0,0,134.193,227.026,175.425,0
144,0,64,18.1365,22.1145,23.3035,63,1080,63,765,2,0,384.16,402.789,252.635,-2
144,1,64,16.3211,20.4241,23.7797,63,603,63,783,0,63,470.55,301.542,252.807,0
144,2,64,9.6838,11.832,14.6633,63,450,63,315,0,0,127.755,309.266,56.3726,0
144,3,64,11.7705,14.2498,15.6098,63,513,63,513,0,0,146.649,303.919,181.066,0
192,0,64,21.995,27.1333,30.565,63,1071,63,756,3,0,358.47,616.624,318.069,-5
192,1,64,15.495,18.8124,21.0531,63,504,63,504,0,63,366.629,383.282,218.219,0
192,2,64,10.5072,13.1021,13.794,63,441,63,315,0,0,113.274,373.332,65.4851,0
192,3,64,12.5757,15.9045,16.9354,63,504,63,504,0,0,129.963,366.884,204.503,0
