dpi,page,frames,p50_ms,p95_ms,max_ms,layouts,positions,paints,child_paints,bitmap_allocations,column_writes,gdi_delta
96,0,64,52.8063,60.4164,67.2372,63,3213,63,1045,63,252,0
96,1,64,130.193,147.72,163.295,63,3213,315,2205,315,252,0
96,2,64,48.317,55.1253,60.1133,63,3213,63,630,63,252,0
96,3,64,51.4167,63.3177,71.4792,63,3213,63,756,63,252,0
144,0,64,69.3628,76.6259,122.152,63,3213,63,1008,63,252,-2
144,1,64,164.534,187.436,201.784,63,3213,315,2205,315,252,0
144,2,64,55.087,60.7654,66.1039,63,3213,63,630,63,252,0
144,3,64,60.2879,66.3272,69.0684,63,3213,63,756,63,252,0
192,0,64,81.5665,93.8496,102.157,63,3213,63,1008,63,252,-2
192,1,64,197.3,236.513,246.347,63,3213,315,2205,315,252,0
192,2,64,70.9305,79.2388,80.659,63,3213,63,630,63,252,0
192,3,64,66.57,81.0681,98.7733,63,3213,63,756,63,252,0
